System,Plot,Loc1_first_damage,Loc1_collected_damage,Loc2_first_damage,Loc2_collected_damage,Loc3_first_damage,Loc3_collected_damage,Loc4_first_damage,Loc4_collected_damage,Loc5_first_damage,Loc5_collected_damage,total_damage,perc_damage,yield,SDR,Total_Disturb,DaysSinceDisturb
1,111,9,0,3,0,5,0,11,1,7,0,36,36,164,235,15,40
2,112,9,1,10,4,11,1,10,3,8,6,63,63,147,256,16,46
3,114,3,0,5,0,9,0,3,0,7,0,27,27,164,217,14,46
1,211,8,1,5,0,8,0,7,0,6,3,38,38,166,235,15,40
2,212,10,3,5,3,7,0,4,5,6,0,43,43,119,256,16,46
3,214,8,0,3,0,5,0,6,4,6,0,32,32,156,217,14,46
3,331,13,2,4,0,6,0,1,0,7,0,33,33,94,217,14,46
2,333,7,1,10,0,11,0,7,0,10,0,46,46,124,256,16,46
1,334,3,0,7,0,8,0,3,0,2,0,23,23,151,235,15,40
3,421,7,2,1,0,8,2,4,0,8,1,33,33,167,217,14,46
2,423,7,0,8,1,10,0,16,2,7,0,51,51,136,256,16,46
1,424,7,0,7,1,5,4,3,1,12,3,43,43,163,235,15,40
