System,Plot,Loc1 first damage,Loc1 collected damage,Loc2 damage,Loc2 collected damage,Loc3 damage,Loc3 collected damage,Loc4 damage,Loc4 collected damage,Loc5 damage,Loc5 collected damage,total,% damaged out of 100,SDR,Total_Disturb,DaysSinceDisturb
1,111,9,,3,,5,,11,1,7,,36,36,235,15,40
2,112,9,1,10,4,11,1,10,3,8,6,63,63,256,16,46
3,114,3,,5,,9,,3,,7,,27,27,217,14,46
1,211,8,1,5,,8,,7,,6,3,38,38,235,15,40
2,212,10,3,5,3,7,,4,5,6,,43,43,256,16,46
3,214,8,,3,,5,,6,4,6,,32,32,217,14,46
3,331,13,2,4,,6,,1,,7,,33,33,217,14,46
2,333,7,1,10,,11,,7,,10,,46,46,256,16,46
1,334,3,,7,,8,,3,,2,,23,23,235,15,40
3,421,7,2,1,,8,2,4,,8,1,33,33,217,14,46
2,423,7,,8,1,10,,16,2,7,,51,51,256,16,46
1,424,7,,7,1,5,4,3,1,12,3,43,43,235,15,40
